Name,Sb,Sn,Cd,Pd,Ag,Bal,Mo,Nb,Zr,Sr,Rb,Bi,As,Se,Au,Pb,W,Zn,Cu,Ni,Co,Fe,Mn,Cr,V,Ti,Ca,K,Al,P,Si,Cl,S,Mg
CH-154,0,0,0,0,0,49.36604567,0.000369476,0.001416113,0.010049902,0.010260915,0.006945686,0,0.014413002,0,0,0.10543879,0,0.08525318,0.020802078,0,0,3.961896596,0.101874462,0.010983546,0.018565728,0.19863609,3.594173838,2.415744598,5.062847141,0.116257211,34.46993526,0.026476044,0.114102943,0.287511739
rs-500-850,0,0,0,0,0,45.99374848,0.001338663,0.002106475,0.018914101,0.006857859,0.008067669,0,0.003693852,0,0,0,0,0.00581493,0,0,0,4.210513152,0.040946191,0.009828741,0.028520528,0.312422484,1.479327495,3.162678818,8.465450285,0.189727726,35.53413746,0.024729646,0,0.50117545
TRR-014a,0,0,0,0,0,52.11984992,0.000334078,0.001127653,0.008801925,0.007850653,0.0030325,0,0.002674281,0,0,0,0,0.003571697,0,0,0,3.77451248,0.04475191,0.010651956,0.018409686,0.216496604,3.758832775,1.445390812,4.808579787,0.127053039,33.62909743,0.018980814,0,0
CH-157,0,0,0,0,0,53.71221931,0,0.000868774,0.01151291,0.004950476,0.007275063,0,0.001219167,0,0,0,0,0.001555678,0,0,0,2.262362482,0.034981197,0.007024927,0.024662395,0.237763084,0.299062629,3.121816471,6.386621022,0.142860608,33.28304016,0.017612518,0,0.442591129
CH-150,0,0,0,0,0,53.93397097,0,0.001056789,0.009549242,0.013912448,0.006783,0,0.000877856,0,0,0.001625545,0,0.002282031,0,0,0,2.425784269,0.065301971,0.007552317,0.019998346,0.200088059,6.288010913,2.385016873,5.480513693,0.088213375,28.41099074,0.013964584,0,0.644506986
CH-151,0,0,0,0,0,50.07768206,0.000679528,0.001955152,0.017768611,0.013882036,0.006666,0,0.004022266,0,0,0.001951443,0,0.017069731,0.003831256,0,0,4.494480204,0.102665727,0.014453317,0.028591271,0.386754166,4.418661632,2.389786657,7.321940384,0.134236222,29.77659404,0.033447265,0.091512244,0.661368788
CH-153,0,0,0,0,0,49.25771087,0.000443788,0.001938294,0.015721,0.01113071,0.008081408,0,0.016966653,0,0,0.209441799,0.037553024,0.120590628,0.064631242,0,0,5.567614951,0.12673609,0.014163767,0.020548805,0.271602783,3.840234956,2.31786209,5.74979139,0.176968025,31.35342411,0.03361433,0.127771647,0.655457638
CH-061_40-50cm,0,0,0,0,0,55.79535869,0,0.001311873,0.0185424,0.00324412,0.004739747,0,0.000963474,0,0,0,0,0.001767672,0,0,0,2.845574824,0,0.010029988,0.016599016,0.2859743,0,1.794592727,7.835745287,0.153485607,31.19603643,0.036033851,0,0
TRR-058,0,0,0,0,0,54.65696543,0,0.001153054,0.011006329,0.016686154,0.007796219,0,0.00213041,0,0,0,0,0.004833136,0,0.005674158,0,3.507679903,0.09087993,0.018799748,0.02187996,0.258369682,9.65364639,2.281897589,5.736306101,0,22.22343918,0.035623993,0.250045288,1.215187347
114-d,0,0,0,0,0,55.70747287,0,0.000650311,0.011675778,0.003467827,0.00268716,0,0.000809071,0,0,0,0,0,0,0,0,1.834875066,0.031191443,0,0.010955348,0.186399012,1.333803518,1.607085666,4.732481723,0.149866718,33.91830419,0.024816559,0,0.443457736
